chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
2,11,1,1.1,अ-,अशोच्यानन्वशोचस्त्वं,अ,अ,"नञ्-तत्पुरुषः,1.2","नञ्-तत्पुरुषः,1.2",न_शोक_करने_योग्य_मनुष्यों_के_लिये
2,11,1,1.2,शोच्यान्,-,शोच्य{पुं;2;बहु},शोच्य{पुं;2;बहु},"कर्म,2.1","कर्म,2.1",-
2,11,1,2.1,अन्वशोचः,-,अनु_शुच्1{कर्तरि;लङ्;म;एक;परस्मैपदी;शुचँ;भ्वादिः},अनु_शुच्1{कर्तरि;लङ्;म;एक;परस्मैपदी;शुचँ;भ्वादिः},"अभिहित_कर्ता,3.1","अभिहित_कर्ता,3.1",शोक_करते
2,11,1,3.1,त्वम्,-,युष्मद्{सर्वनाम;1;एक},युष्मद्{सर्वनाम;1;एक},"कर्ता,2.1","कर्ता,2.1",तुम
2,11,1,4.1,प्रज्ञा-,प्रज्ञावादांश्च,प्रज्ञा,प्रज्ञा,"षष्ठी-तत्पुरुषः,4.2","षष्ठी-तत्पुरुषः,4.2",पण्डितों_के-से_वचनों_को
2,11,1,4.2,वादान्,-,वाद{पुं;2;बहु},वाद{पुं;2;बहु},"कर्म,6.1","कर्म,6.1",-
2,11,1,5.1,च,-,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,6.1","समुच्चय_द्योतकः,6.1",और
2,11,1,6.1,भाषसे,भाषसे,भाष्1{कर्तरि;लट्;म;एक;आत्मनेपदी;भाषँ;भ्वादिः},भाष्1{कर्तरि;लट्;म;एक;आत्मनेपदी;भाषँ;भ्वादिः},"समुच्चितः,2.1","समुच्चितः,2.1",कहता_है
2,11,1,7.1,गत-,गतासूनगतासूंश्च,गत,गत,"बहुव्रीहिः,7.2","बहुव्रीहिः,7.2",जिनके_प्राण_चले_गये_हैं
2,11,1,7.2,असून्,-,असु{पुं;2;बहु},असु{पुं;2;बहु},"समुच्चितः,8.3","समुच्चितः,8.3",-
2,11,1,8.1,अ-,-,अ,अ,"बहुव्रीहिः,8.2","बहुव्रीहिः,8.2",जिनके_प्राण_नहीं_गये_हैं
2,11,1,8.2,गत-,-,गत,गत,"बहुव्रीहिः,8.3","बहुव्रीहिः,8.3",-
2,11,1,8.3,असून्,-,असु{पुं;2;बहु},असु{पुं;2;बहु},"कर्म,11.1","कर्म,11.1",-
2,11,1,9.1,च,-,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,8.3","समुच्चय_द्योतकः,8.1",और
2,11,1,10.1,न,नानुशोचन्ति,न{अव्य},न{अव्य},"प्रतिषेधः,11.1","प्रतिषेधः,11.1",नहीं
2,11,1,11.1,अनुशोचन्ति,-,अनु_शुच्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;शुचँ;भ्वादिः},अनु_शुच्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अनु_शुचँ;भ्वादिः},"अभिहित_कर्ता,12.1","अभिहित_कर्ता,12.1",शोक_करते
2,11,1,12.1,पण्डिताः,पण्डिताः,पण्डित{पुं;1;बहु}/पण्डित{पुं;8;बहु}/पण्डिता{स्त्री;1;बहु}/पण्डिता{स्त्री;2;बहु}/पण्डिता{स्त्री;8;बहु},पण्डित{पुं;1;बहु},"कर्ता,11.1","कर्ता,11.1",पण्डितजन
